I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
Why is the 3g iPhone Internet connection inexistent and edge so terrible in #sfo? Doesn't help aleviate shopping with gf in haight!	sfo	sfo	SFO
Its 3 in the afternoon and mom has still not started working on project Lunch!! #MomFail!!	MomFail	mom fail
#twithelp from @LTS247: : going to go rent some movies  anyone got any ideas? http://tinyurl.com/rc4z5q	twithelp	Twit help	twit help
@wearephoenix you were by far the best set at #bonnaroo! i wish i had known you were playing rockNroll hotel (DC); now it's sold out	bonnaroo	bonnaroo	Bonnaroo
@scottdot i want sushi  we should head up to #ABQ & have some w/ my besties #jennsreverie	ABQ	ABQ
with father on our way to #prekmurje to check the damage on our house. Damn storms.  http://htxt.it/i/cEHx	prekmurje	prekmurje
Remote support like you have never seen it before:  http://tr.im/mZHC - #Bomgar is the absolute best for tech support	Bomgar	Bomgar
wikileaks geht wieder  super #wikileaks #online	wikileaks	wikileaks	Wikileaks
@idokan: #asterisk meetme does not like me... it just does not do what I want, and no documentation on how to implement it either	asterisk	asterisk
@HALO_3_FANS hey, good to see another #halo3 player, anyone fancies a game anytime just follow n I'll give you my XBL details	halo3	Halo 3
and twitter doesn't seem to be able to tweet back to this number  #clubvaiocongress	clubvaiocongress	Club Vaio congress	club vaio congress	club-vaio congress
@palm: The operative word in "#mojoSDK early access" is "access"... I filled my application the day the site opened...	mojoSDK	mojo SDK
haha @greenj has written a piece on Crikey being accepted as PROPER media http://twurl.nl/iwg012 <- sounds like bloggers  #TheAustralian	TheAustralian	The Australian
yeay. found my first #geochache at the #bcd09	bcd09	BCD 09
return of Top Gear tonight to the TV, shame it conflicts with pub quiz night.  #topgear #bbc #stig	stig	stig
#DotNetNuke #jQuery #jQueryUI drag and drop portlets skin now themeroller ready  live demo this time  http://bit.ly/8qnI3	jQueryUI	jQuery UI
missed sushi day  #sushiday	sushiday	sushi day
@tjp LOL! PS. Congratulations on fitting both your head and your foot into your avatar picture  #nosmallfeat #punlowestformofwit	punlowestformofwit	pun lowest form of wit
Now, I want to watch it and my portable dvd player battery is dead, so I have to wait till after work  #princessbride	princessbride	Princess Bride
#brisweather make up your mind please, I put on jeans cause it was wet and cold. Now it's sunny and hot and I don't want to change	brisweather	Bris weather	bris weather
what to do today?  it's nice and sunny outside... so I'll do nothing I think  #lazy	lazy	lazy
#fuckgfw Google and Gmail still down here in Chengdu!  can access google.cn as before. http://bit.ly/2vwDU3	fuckgfw	fuck gfw
@carsondaly...what about having @thankasoldier as a sat interview for #militaryMon?  I vote yes!	militaryMon	military mon
First to work: #SpiderOak. #Mozy & #Carbonite barfed. 2.5 million files shouldn't be that hard  Was only a subset of the total too. *sigh*	SpiderOak	spideroak	SpiderOak
no comcast for me. which means I can't watch the #cubs game.	cubs	cubs
next 'debroid' release will come this afternoon  #android #debian #linux	debian	debian
After waiting nearly 5 years, the 2nd season of #Everwood is finally in stores TODAY! Be sure to get your copy!!!	Everwood	everwood	Everwood
#FOLLOW @PrincessSuperC Tha Very Talented Singer/Song Writer Ciara!!  FOLLOW Her Y'all!!!	FOLLOW	follow
Hey #DrawTutor can't connect.. i will try next time...   (Drawing Tutorials Online live > http://ustre.am/31UN)	DrawTutor	Draw Tutor
#Idol season 5 finalist Kellie Pickler doesn't have a monkey anymore!  http://tr.im/oXEa	Idol	Idol	idol
Oh I love the 'dd' command  Needed it for the #bootmii Wii hack. My PQI SDHC seems to not be compatible with anything I wanted to do.	bootmii	bootMii	bootmii	boot mii
@TheRecruiterGuy Man, this would have been good to know before I booked the flight ;) think, I'm going to miss it  #GolfTweetUp #twtvite	GolfTweetUp	Golf TweetUp
#Sicamp Note to self: Next time, get version control sorted BEFORE trying to merge code.	Sicamp	SI camp
@CrystalJanet everyone loves pressies!!!!!!!!!!!!!!!!!!!!!!!! especially my #twitterbff	twitterbff	twitter BFF	twitter bff
@joshknowles any time man.  We'll see you in SF for #rubyconf - and in Alta next winter	rubyconf	Ruby Conf
My #mangamonday pick for the week is Wish by CLAMP. A short and very sweet story about angels, demons, and the human they love and annoy.	mangamonday	manga monday
@bittabuffalo @katiebeth #tweetup #climb & party! Would be great to see you there!   #Big5-0bdaytweetup	Big5	Big 5
ASP.NET MVC Routes will be the end of me - I can never get em right  Bring on strongly typed ones Out Of the Box 4 MVC v2.0 ;) #aspnetmvc	aspnetmvc	asp net mvc
@Bargok Simple #xml parsing for #php is a good one, or OO best practices	xml	XML
on our way to the Ad Council's Annual Celebration Luncheon. We are the recipients of the 2009 Chairman's Award  #va501c	va501c	va501c
@MPWastingMorn swoon swoon swoon! I'm going 2 watch it again later, while #treadmill. kids r home 4summer break, so have 2 wait til nap.	treadmill	Treadmill
No #beertweetup in bangalore??	beertweetup	beer tweetup
#DotNetNuke #jQuery #jQueryUI drag and drop portlets skin now themeroller ready  live demo this time  http://bit.ly/8qnI3	DotNetNuke	Dot Net Nuke
@DocMichelle I always say ... taste over timelyness. Your boss may not agree. But hey ... at least you have #Peet's in hand & tummy. Yum!	Peet	Peet
Earthquake? I suggest we all start tweeting about #ALIEN ATTACK. Let's see what happens!?	ALIEN	ALIEN
@JGFMK thanks for the twits and linkedin invite, gonna update the #xwiki plugin with macro support soon, been working on a #gae app	xwiki	XWiki	xwiki
@BordadoIngles Think the Mars Science Lab chip is going to have to have a special #ukscitweetup section	ukscitweetup	UK Sci tweetup	uk sci tweetup
Wonder when I will be able to attend a conference with wifi that doesn't suck  #javaone #atlassiansummit both #fail at wifi	atlassiansummit	Atlassian  Summit	atlassian  summit	atlassian summit
http://tinyurl.com/44487e - Nice stuff! But I need it for C++  #textmate #codecompletion	textmate	TextMate
@jabbrwcky Don't think I'll see you tonight - check your email - looks like a cancelled #WNISN	WNISN	WNISN
Still amazed and pissed of at the same time. Fucking weather, why in the middle of "Head like a Hole"?  #Novarock	Novarock	Nova rock
hellow #sytycd marathon hello #suu application  hello cedar city.. im so thankful in the eye of the tornado. hm, where ever shall i work?!	suu	suu
Once I finish this BS I'm going out to tackle some nature. Not sure why I'm so excited to do #yardwork but I really am	yardwork	yard work
aircon's on the blink at work  #hothothot	hothothot	hot hot hot
@DylanJobe You will send me a copy of Infamous *waves hand non-chalantly* #force powers, hah	force	force
Kelly Kapowski thinks she is more famous than #mario Lopez, no SBTB reunion   http://bit.ly/HZUjx	mario	mario
@inkasrain Hi!  from one "enthusiastic #mets fan" to another   GO METS!!!!	mets	Mets	mets
#jcp party was good; #sun party at W hotel was even better; working tomorrow in the office, but for afterdark... I am back in the city...	jcp	JCP
#techdays_ca 2009 reg is near, for those that attended last year watch your inbox  for the end of June and feel free to share  #mscantalk	techdays_ca	techdays _ ca
@papa_face Download link for: http://tinyurl.com/dazhmt is http://tinyurl.com/ded3ld  #fetchmp3 #music #mp3	mp3	Mp3
@dceiver  Your #nerdprom intro today could have used a link to "Journalists Swing The Tire" for color   http://bit.ly/a8muu #jtwits	jtwits	jtwits
@Penguino DO NOT WANT #FLAMEWARS	FLAMEWARS	flame wars
Tryin 2 gt to 100 folowrs in 2 days! HELP ME OUT  D-Day Jay-Z #robotpickuplines Palm Pre #jessicaveronica Tetris Goodnight Hangover Conan	jessicaveronica	Jessica Veronica
Ok it's not the sherrif, is it the little white dog  #harpers	harpers	Harpers	harpers
last stop in the week till its off to #hatteras to do some camping and watch the baby sea turtles. @tinydancer1986 is going to love it	hatteras	Hatteras
@alyankovic hey al, when i tweet with just a #weirdal it doesn't show on ustream - it only shows up when I use @alyankovic	weirdal	weird al
@fousheezy: I want to "wine" at my job  Also, will tag the Chop Sticks joke as #epichilarity	epichilarity	epic hilarity	Epic Hilarity
@Tw1sty #notverytalkativetonightwilltrybettertomorrow	notverytalkativetonightwilltrybettertomorrow	not very talkative tonight will try better tomorrow
@kathryn_mcfly We laughed & laughed at all your #mcflys. LOL LOL LOL !!Glad I was on high speed connection though - there were PAGES	mcflys	mcflys
wishes there were some #aslym -type goodness in her city!!	aslym	aslym
@yoavsegal  #TwitterTrain sounds better	TwitterTrain	Twitter train	twitter train	Twitter Train
@CalebJennings Great talkin w/you today & meeting #MonsterVegasTweetUp!  Hated 2 leave but somebody's gotta work w/the half-naked women	MonsterVegasTweetUp	Monster Vegas Tweetup
@ontdai I hope not  but maybe he's a cameraman or had to deal with this HiFi business. PPL must not buy& know #adamaintgetadimefronwant !	adamaintgetadimefronwant	adam aint get a dime fron want	adam ain't get a dime fron want
@jamesroy68 #lendingrights Mine haven't arrived  perhaps tomorrow...	lendingrights	lending rights
@jenbee Should clarify: we'll be in after Roger Federer makes history at the French Open.  #goroger #rolandgarros http://is.gd/R5Sc	goroger	go Roger
we told our son we'd bring him to funtown w/ friends in lieu of a big birthday party this year.  had to postpone twice now.    #rainsucks	rainsucks	rain sucks
THAT Made me laugh   @ErinBlaskie  #twitter #goal #hashtags #single #tweet #Rule #hashtag #needs #exist #LOL #joke	exist	exist
@2bnMaine You're very welcome! We're all in this together, after all  #Maine #Business #Xerces	Xerces	Xerces
#Magic Lebron has silently left the building.  Thank you...thank you veryyy much (in my bestest Elvis voice)....	Magic	Magic
Okay, world, new plan: leave your #PalmPre for @mikecane to use & return in a mutually agreed location. He doesn't want to meet you.	PalmPre	Palm Pre
#notfeelingwell.	notfeelingwell	not feeling well
Wonder if I can cache images, scripts & views offline in the database too? You could make a legit web app with #HTML5 #Safari #iPhone #JS	HTML5	HTML 5	HTML5
0721 #fgw Reading to paddington is taking forever.. nice constant 15mph since Slough.. yawn.. Even got thru all my Rss feeds	fgw	FGW
#Rox lost 7-2  poor start to this season. 2-3 so far. Let's see if this manager can pull the tream together	Rox	rox
added #PopFly app to my underconstruction site	PopFly	Pop Fly	PopFly
@NotAPretender I've not even watched an episode, just clips of the #humanfails	humanfails	human fails
@ParkRat Oh man, that is #awesometown.  Ahaha.  Are you serious?	awesometown	awesome town
rats!  the "waterproof surgical tape" I bought is just fabric tape...and doesn't look very waterproof.    #woundcare #vasculitis	woundcare	wound care	Wound Care
#Glee is definitely my new favorite show...thank you @aaalisson for telling me to watch it	Glee	Glee
#paperwork while @xPlaceoFearx plays #UFCUNDISPUTED. im hyped to finish up my vocals once and for all	UFCUNDISPUTED	UFC undisputed	UFC Undisputed
2-0 for Celtic a goal from Skippy  #celtic	celtic	Celtic	celtic
my #backtothefeature is trippin  ill get it fixed yoo is there gonna be a stickam tonight tho?	backtothefeature	back to the feature
U'll realize that life is not hard but more beautifull and simlpe than you ever thought it could be. Let you ego go!  #Wisdom #Life #Quote	Life	life
ooops there isn't a hashtag for attachment parenting #attachmentparenting	attachmentparenting	attachment parenting
@imtribute Hopefully figuring out where my shirt went  #hightimesisslow	hightimesisslow	high times is slow
Trying to move #Healthcare reform. #SinglePayer or public option - Also: Took over Wednesdays FP at @epluribusmedia  @rawdawgbuffalo	SinglePayer	Single Payer
@MrWordsWorth #halifaxchicks has a rule in place that allows #halifaxdudes in heels. And #halifaxeunuchs. See you at Third Wednesday?	halifaxdudes	Halifax dudes
The new bug  #vw http://twitpic.com/3k5ct	vw	vw	VW
Thinking about 140char poems and something to swap up for #tweetcamp this weekend but drawing blanks  You others doing any better?	tweetcamp	tweet camp
Downloaded and played #Demigod today (thanks @kareemharper) I like the gameplay, but I have yet to be able to connect to an online match	Demigod	demigod
@kevgibbo, @lyndoman - 101 Blogging Headlines, some great ones there  http://bit.ly/b8bwA  #linkbait	linkbait	link bait
@alour My problems will still exist, I'm sure... but it will affect your rate for future #twitterastherapy sessions	twitterastherapy	Twitter as therapy
I lost 3 followers today  Time 2 whore it up! #hot #horny #Sexy #wild #WideOpen #oral Wait a sec! That's gonna attract the wrong followers	WideOpen	wide open
Wish I were at #SemTech2009	SemTech2009	SemTech 2009	Sem Tech 2009
@flaxter a fellow twitterer  #icc09	icc09	ICC 09
ponders about a @FrAlternas session with music from the bands mentioned and #mindlessselfindulgence #sod #thedictators #gwar #ggallin etc	gwar	gwar
@Wolfarm_Alpha look at the GDP of China in your snapshop i am wondering why people kee comparing #usa with #china	usa	USA	usa
@tjp LOL! PS. Congratulations on fitting both your head and your foot into your avatar picture  #nosmallfeat #punlowestformofwit	nosmallfeat	no small feat
#steam why must you fail me so!  The Unreal pack is UNREAL but you won't let me add it to my cart	steam	Steam	steam
nothing to watch now.. #pushingdaisies season 2 isn't attractive enough. playing #bananagrams instead	bananagrams	Bananagrams
#waitwait is funny today.	waitwait	wait wait
@SuperWiki On a stormy sea of moving emotion, Tossed about I'm like a ship on the ocean.  Really looking forward to #supernatural tonite	supernatural	supernatural
#untwitter the "trash-bin" solution doesn't work! the tweet is in the indexes and propagated, even if it disappears from my personal list	untwitter	untwitter
@sanjukta  ekta to kora jak #bongodibosh .baki gulo bhaba jabe.  and aunty ke amar ar shob #twitterbongs e torof thike "subho jonmodin"	bongodibosh	bongodibosh	bongo dibosh
